type,text
本文,一
本文,水口の硝子戸が、がらりと開いた。
本文,ぼんやりとして台の前に立ち、燈を浴びて煮物をかきまわしていたおくめは、驚いて振向いた。
本文,細めに隙いたところから、白い女の顔らしいものが見える。
本文,彼女がその方を見たと判ると、外の顔は前髪を一寸傾け、
本文,「今晩は」
本文,と云いながら、残りの戸を全部明けて姿を現した。
本文,「まあ、何だろう、のぶちゃんかえ」
本文,緊張し、訝しげな色を湛えていたおくめの両眼には、忽ち何とも云えない暖い光が漂った。
本文,「どうしたの？今頃、学校から来たの？」
本文,おくめは、菜箸を片手に持ったまま、戸口へ下りて行って、懐しそうに娘の風を見た。
本文,「暗がりで誰かと思ったよ」
本文,のぶ子は、華やかな桃色の半襟と、大柄な絣の上下ついの衣服に包まれて、夜目には、我娘ながら見紛うばかり美しく見えた。
本文,「何か用かえ。
本文,――まあ一寸お入りな」
本文,おくめは、娘を眺め、夕飯の仕度にかかった台所を見廻し、両方に気兼ねをするような表情を現した。
本文,「直きすむから、上っておいで」
本文,然し、のぶ子は、外に立ったまま、
本文,「ええ」
本文,と云うばかりで入ろうとはしない。
本文,「どうしたの？」
本文,「――阿母さん、今夜はいそがしいの？」
本文,「別にいそがしいってことはないけれども、丁度夕御飯にかかったところだからね。
本文,――でもいいじゃあないかお上りよ」
本文,「ええ……奥様はいらっしゃるんでしょ？」
本文,のぶ子は、そう云いながら中に入り、母親の鍋をあつかっているところとは一段低い流し元に立った。
本文,そして、
本文,「あのね、実はね、阿母さん」
本文,と、声を低め、伏目になって母の手許を見ながら云い始めた。
本文,「麹町まで一寸一緒に来てお貰いしたいんだけれど……」
本文,「麹町へ？」
本文,おくめも、いつの間にか小声になって娘の近くに顔をよせた。
本文,「何かあったのかい？」
本文,「何ってこともないんですけれど――姉さんがね、こっちへ阿母さんが来ているのにちっとも顔出しもしないで、義兄さんに済まないって怒るんですもの」
本文,「…………」
本文,おくめの、久しく剃刀を当てない眉の辺には、明に躊躇の色が漲った。
本文,麹町というのは、長女のふさ子の嫁入っているところであった。
本文,良人は内務省の小役人をしてい、家では内職かたがた薬局生を置いて薬種屋をしている。
本文,そこから、看護婦養成所にいるのぶ子は再々学資の補助を受けているのである。
本文,「この間、行った時にね、こんど来る時は是非連れて来いって云うんでしょ。
本文,今月は、少し余分にお金がいったから、姉さんなお喧しいんだわ」
本文,「……阿母さんだって行きたいところなら、もう疾うに行っているさ。
本文,行けば何の彼のと五月蠅いし……」
本文,「だって、東京へ来て、もう半年にもなるのに、一遍も行かないのはひどくってよ。
本文,――今夜は駄目？どうせいつかは行かなけれゃあならないんだから。
本文,お暇が貰えたら今日来て下さいよね？」
本文,「お暇の貰えないことはないだろうが……」
本文,母の、行きたくもあり、行きたくもなしという素振を見ると、のぶ子は、充分自分の勝味を感じて熱心に勧め始めた。
本文,姉が、どんなに母の不沙汰を良人の手前片身せまく感じているか、一遍母が来て、自分のために口を利いてさえくれれば、同じ出して貰う金も、どんなに快よく貰えるかということなどを、のぶ子は、狭い家の中で、主夫婦に聞えないように、小さく、而も心をこめて話すのである。
