type,text
本文,退社間際になって、青木は、ちょっと居残ってくれるようにと石村から言われて、自席に残った。
本文,同僚が退出した後の事務室は、空気までも冷え冷えとしてきた感じで、眼を慰めるものとてない。
本文,壁に懸ってる地図だのカレンダーだの怪しげな版画だの、毎日見馴れてるものばかりだった。
本文,受付兼給仕の宮崎がまだ残っていたが、衝立の陰で、何をしているのやら、ひっそりとして物音一つ立てなかった。
本文,青木はやたらに煙草を吹かしながら、新聞の綴込をぼんやり読みあさるより外はなかった。
本文,石村は社長室で、来客と話し込んでいた。
本文,前の石村商事、今の石村証券の、彼は社長だったが、どういうものか、社員にも石村さんと呼ばせて、社長と言われるのを嫌った。
本文,もと陸軍の退役中佐だったが、終戦当時から中佐と言われるのを嫌ったのと、同じ意味合だったらしい。
本文,そして時間を守ることは几帳面で、社長室に来客があっても、社員には遠慮なく退出さした。
本文,もっとも、十人に足りない小さな会社なのである。
本文,ちょっとというのが、三十分あまりかかった。
本文,石村は廊下まで来客を送り出して、それから事務室へ顔を出した。
本文,「待たして済まなかったね。」
本文,青木に声をかけて、それから室内を一通り見廻した。
本文,「宮崎君、君はもう帰ってよろしい。」
本文,宮崎は直立不動の姿勢をした。
本文,青木は石村について社長室にはいった。
本文,中央の大きな円卓をかこんで、長椅子や安楽椅子が並んでおり、壁には大小数枚の油絵があった。
本文,卓上には、ウイスキーの瓶や水差やピーナツが出ていた。
本文,石村が来客と一杯やっていたものらしい。
本文,「さあ掛け給い。」
本文,石村は青木に安楽椅子を指し示し、自分は長椅子にかけようとしたが、ちょっと小首を傾げて、事務室のとは別な扉を開けて出て行き、ウイスキーの新たな瓶を持って来た。
本文,そこの室には、女秘書の小島がいる筈だったが、それももう帰って行ったらしかった。
本文,この女秘書は、石村を直接訪れて来る客を取次いだり、茶を出したり、タイプライターを叩いたりする役目だ。
本文,石村はタイプの文書が好きで、それを叩く音がこの室にはのべつにしていた。
本文,青木は石村と全く二人きりなのを知り、石村の応対が懇切なのを見て、これはいつもと違った用件だと悟った。
本文,「引止めて、迷惑じゃなかったかね。」
本文,「いえ別に……。
本文,どうせ酒を飲むぐらいな用しかないんですから。」
本文,「ははは、うまいことを言ってるぜ。」
本文,石村は二人のコップにウイスキーをついだが、なにやら憂鬱そうだった。
本文,煙草の煙の合間に、ふっと眉間に皺を寄せたりした。
本文,だが、彼のそういう表情は、何等かの行動的決意に依るものであることを、青木は知っていた。
本文,石村は青木の顔をじっと見た。
本文,「実は、君に少し頼みたいこともあるんだが、なにか、特別な情報はないかね。」
本文,「情報と言いますと……。」
本文,「いや、そうむつかしく考えんでもいいがね、つまり、日本は今、ひどく緊迫した状態にあるから、各方面の情報を集めておく必要がある。
本文,一般與論の動向なんかは、どうでも宜しい。
本文,各方面の特別な個々の動き、それを掴んでおくことが大切だ。
本文,ところでこの情報というやつは、君も知ってる通り、重大だと見えるものが案外何の役にも立たなかったり、下らないと見えるものが案外に深い根を持っていたりするんだから、よほど細心に取扱わなければならん。
本文,むしろ、下らないと見えるものを、注意深く蒐集しなければいけない。
本文,現内閣の意向だとか、国警本部の方針だとか、左翼運動の新企画だとか、そういう大まかなものでなく、巷の声、ちょっとした聞き込みが大切で、そういうことについて、何か君が知ってることはないかね。」
本文,青木は考え込む風を装いながら、内心では、いよいよ来たなと思った。
本文,近頃、石村証券の商売の方は至って閑散で、各会社の内情調査が主な仕事となっていたが、その代り、石村のところへの直接訪問客が目立って殖えていた。
本文,日本再軍備の問題が各方面で論議されるようになってから、それが殊に甚しかった。
本文,石村の室へは、廊下から、事務室の方の扉と女秘書室の方の扉と、二つの出入口があって、直接の訪問客はたいてい後者から出入したので、どういう人物かよくは分らなかったが、主として旧軍人の類であることは想像に難くなかった。
本文,第一、ここの主な社員たちにしても、もとを糺せば旧軍人か或は旧軍属だったのである。
本文,青木が考え込んでるのを見て、石村は話の調子を変えた。
本文,「君に思い当ることがないとすれば、まあそれでいいさ。
本文,酒場での酔っ払いの話なんかは、これは情報とも言えないからね。」
本文,青木は頭を掻いてみせた。
本文,「まったく、私はいつも酔っ払ってばかりいて、自分でも情けないと思っています。」
本文,「情けないどころか、大した腕前じゃないか。
本文,酒ばかりでなく、女にかけてもそうだろう。」
本文,「え。」
本文,青木は顔を挙げて、石村の眼を見た。
本文,石村は眼をくるりとさして、揶揄するように微笑した。
本文,「いいことを聞かしてやろうか。
本文,君はあれからまた、今西を喜久家に連れ込んだね。」
本文,青木は口が利けなかった。
本文,今西巻子、それは石村証券の女社員だった。
本文,「僕が知らないとでも思ってたのか。
本文,迂濶だね。
本文,喜久家は僕がよく飲みに行く家だよ。
本文,君がいくら内緒にと頼んでも、僕の耳にはいらないわけはないじゃないか。」
本文,「済みません。
本文,金が無かったもんですから、つい、あすこを利用する気になったんです。
本文,然し、あすこの払いは、ボーナスで済ますつもりでいます。」
本文,「金のことは気にしなくてもいい。
本文,僕が払っておいてやった。
本文,上海にいた時と同じことさ。
本文,然し、大事なのは……。」
本文,言いかけたままで、石村はウイスキーをなめながら考え込んだ。
本文,上海にいた時、それは戦時中のことで、石村は特務機関の仕事をやっていた。
本文,静安寺路の可なり立派なアパートに住んで、主として隠匿物資の摘発回収に当っていた。
本文,白系ロシア人や中国人をも手先に使っていた。
本文,その当時、青木も石村の下で働いていたのである。
本文,石村はしばしば本国に往来していて、終戦の時には丁度東京に帰っていた。
本文,運がよかったのだ。
本文,やがて半焼のビルの空室をかり受け、石村商事を開いて、軍関係やその他の闇物資で巨利を得た。
本文,彼のところには、旧軍人や旧軍属が集まってきた。
本文,青木もその一人だった。
本文,終戦直後、北京から朝鮮を迂回して、命がけの冒険旅行をやったのである。
本文,闇物資の仕事が少くなって、石村商事は石村証券と看板を変え、人員も次第に少くなり、そして今日に至ってるのであるが、石村は心ひそかに期するところがあって、新たな活動を始めてるようだった。
本文,「青木君。」
本文,石村は突然呼びかけて、青木の顔をじっと見た。
本文,「率直に言おう。
本文,君はあの今西巻子から、何等かの情報を掴むつもりだったろうね。」
本文,青木にとっては思いがけない言葉だった。
本文,そんな意図は全然なかったのである。
本文,彼は呟いた。
本文,「それはちと、明察すぎますね。」
本文,「白ばくれなくてもいいよ。
本文,或は僕の思い違いかも知れないが、然し、あの時の君の態度は、どうもそうとしか受取れなかったからね。」
本文,「へえー、どんな態度ですか。」
本文,「中国で目下進捗してる淮河の治水工事などを持出して、さんざん今西の機嫌を取ったじゃないか。」
本文,「淮河の治水工事ですって……。」
本文,「そうだ。
本文,あれこそ本当の民衆のための建設工事だとかなんとか吹聴して、今西の気に入ろうと努めたろう。
本文,なにか下心あってしたことに違いない。」
本文,青木は額に掌を当てて、回想してみた。
本文,あの時も、後で冷汗の出る思いだったが、今になっても、後味の悪さは同じだった。
本文,もっとも、すっかり酔っ払ってからのことだったので、詳しくは覚えていなかった。
本文,あれはたしか、日米安全保障条約による行政協定が締結された頃のことだった。
本文,石村は主な社員たちを喜久家に招待して御馳走した。
本文,席上、石村一人が主として饒舌った。
本文,要旨は、アメリカ一辺倒に対する非難と、再軍備の主張だった。
本文,警察予備隊増員の計画もあるが、あのような組織では、たとえ如何ほど増員し、どのような装備をさしたところで、精神がだめだから、国防の万全を期することは出来ない。
本文,たとえ徐々にせよ、再軍備を行うことが、真に独立を確保する途である。
本文,それによって、たとえ徐々にせよ、アメリカ軍隊を撤退させるべきであって、何もかもそして常に、アメリカにのみ頼ろうとするのは、それこそ亡国根性である……。
本文,そのようなことを石村は威勢よく饒舌った。
本文,ふしぎに、憲法の改正とか日本共産党の問題とかは、一言も出なかった。
本文,皆が彼に相槌を打った。
本文,酒の勢も加わっていた。
本文,そういう空気に、青木は反撥を感じたようだった。
本文,これにも酒の勢があった。
本文,そして淮河の治水工事を持出した。
本文,どこで読んだのかはっきり覚えていなかったが、へんに頭の中にこびりついていたのである。
本文,淮河は、河南、安徽、江蘇の三省にまたがる大河であって、二千年間に約千回もの大※濫を起している。
本文,一九三一年の大洪水には、罹災者二千万人にも及んでいる。
本文,そして一昨年夏の大洪水を契機に、中共政府は、淮河の大治水計画を決定した。
本文,五カ年内に完成する計画だが、工事参加民工は二百二十万を超えるもので、その流域の五千五百万の人民は永久に洪水の脅威を免かれ、中国の総耕地面積の七分の一に当る田畑が灌漑されることになっている。
本文,昨年七月にはその第一期工事が完成され、築堤、浚渫、貯水池、水門など、各種の難工事が克服され、このために移動された土壌の量は、高さ一メートル幅一メートルの土堤に直してみると、長さ二十万キロ、地球赤道を五周するほどだという。
本文,これだけの大工事が、中国においては、人民のために人民の手で行われているのだ。
本文,日本にあっても、この貧窮のさなかだから、先ず何を措いても国利民福のことを考えるべきではないか……。
本文,そういうことを青木は饒舌った。
本文,この青木の話は、宴果てようとする頃に持出されたもので、石村の説を反駁するという形にはならず、単に話題を転換するものという風に受取られた。
本文,二、三の者が彼の相手になり、今西巻子が最も多く口を利いた。
本文,青木は巻子の方に向き直って、ますます熱心に饒舌り立て、その説はなんだか彼女に迎合的だった。
本文,二人は意気投合してるようにも見え、或は互に酒の肴にしてるようにも見えた。
本文,彼女も相当に酒を飲んで、したたか酔っていた。
本文,そして二人で饒舌り合ってるうちに、石村はいつしか席を立ち、他の者も相次いで姿を消し、二人だけ泥酔して、喜久家に泊りこんでしまったのである。
本文,その前後のこと、青木はよく記憶してはいなかった。
本文,ただ、巻子がひどく消極的に、或は全く意志なきもののように、彼に身を任せたという感じだけが青木に残った。
本文,青木の方でも恐らく同様だったろう。
本文,翌朝はひどく気まずかった。
本文,飯も食わずに喜久家を飛び出して、すぐに別れた。
本文,別れ際に青木は言った。
本文,「昨晩のこと、忘れることにしましょう。
本文,石村さんへの面当てだと思えば、それでいいでしょう。」
本文,「ええ、いいわ。
本文,」と巻子は答えた。
本文,愛情でも情慾でもなかった。
本文,ただ泥酔したためだった。
本文,二人は会社でも、互に親しい素振は見せず、却って白々しい態度をした。
本文,だが、さすがに青木は、巻子のことが気になって、落着かない気持ちだった。
本文,引緊った細そりした顔立ちに、近眼鏡の奥から眼を光らして、何喰わぬ様子をしてる彼女のうちに、独身の中年女の図々しさを見る気がした。
本文,それから二週間ばかりたった頃、青木は巻子と連れ立って帰りかける羽目になった。
本文,街路に出ると、今晩も飲みにいらっしゃるの、と巻子が聞いた。
本文,頷くと、わたしもついて行っていいかしら、と言った。
本文,何か話があるのかも知れないと思って、青木は彼女を連れて知り合いの居酒屋へ行った。
本文,別に話もなかったが、酒が廻って来ると、巻子は頬笑んで囁いた。
本文,「石村さんへの面当て、あれっきりなの。」
本文,何を言うか、と青木は思ったが、その憤りのため、却って後へは引けなくなった。
本文,二人は喜久家へ行って、また泥酔し、泊りこんでしまった。
本文,前の時と同様、味気ない一夜だった。
本文,翌朝、巻子は言った。
本文,「こういう保養も、たまにはいいわね。」
本文,その冷淡な言葉に、青木は見事に仇を打たれた気がした。
本文,勝気で不感性めいた彼女に深入りしてると、これはとんでもないことになりそうだ、と警戒の念が起った。
本文,其後、青木は彼女を避けるようにした。
本文,それだけの交渉だったのである。
本文,然し、石村は執拗だった。
本文,「僕は、君が彼女を丸めこんで、何か情報を得ようとしてるのだと思ったが、違うかね。」
本文,青木はただ唖然とするばかりだった。
本文,石村は酔眼を据えて、じっと青木を見つめた。
本文,嘗て上海にいた頃、石村はよく相手の顔を凝視した。
本文,ぴたりと吸いつくようなその眼光には、人を威圧するものがあった。
本文,今では、丸刈にしていた頭髪を長めに伸ばし、白毛もだいぶ交っており、頬の肉は少し落ちていたが、青木にとっては、あの頃の眼光を久しぶりに見出した気がした。
本文,青木は眼を外らして、ウイスキーをなめながら、口籠った。
本文,「私には、何のことだか、よく分らないんですが……。」
本文,「なに、分らない。」
本文,だいぶ間が途切れた。
本文,「いったい君は、今西を、何だと思ってるのかね。」
本文,「それは、どういう意味ですか。」
本文,「彼女の人物のことさ。」
本文,「ここの社員でしょう。」
本文,「社員は社員だが……。」
本文,少し間を置いて、石村は打っつけるように言い出した。
本文,「まだ確かな証拠はないが、僕の眼に狂いがなければ、あれは日共の党員だ。
本文,少くとも党の同調者だ。
本文,そしてここで、何等かの情報を得ようとしているのだ。
本文,この頃本社では、諸会社の内情調査を主な仕事としてるものだから、それに関連した情報獲得の便宜もあるし、それから猶、警察予備隊だの、保安隊だの、僕の個人的な関係方面のことについても、知りたいニュースがあろうじゃないか。
本文,然し、彼女なんかにそう易々と尻尾は掴ませない。
本文,その代り、彼女の、いや日共の、尻尾を掴みたいものだ。
本文,君がその仕事をやってくれてるものだと、僕は思っていた。
本文,まだやっていないのなら、今からでも遅くはない、やってみないか。
本文,下らなく思われるような言葉尻だけでも充分だ。
本文,君と彼女の間柄なら、わけはないだろう。」
本文,青木は顔が挙げられなかった。
本文,巻子には聊か自由主義者らしいところがあったが、まさか共産党員だとは思われなかったし、ましてやそのスパイだとは思われなかった。
本文,そして今、青木に提出されてる仕事は、スパイに対する逆スパイの行為だったし、而も色情を以てするそれだった。
本文,彼はウイスキーをあおった。
本文,「君の淮河治水工事の話なんか、なかなか立派だったよ。」
本文,そして突然、石村は哄笑した。
本文,青木は顔を赤らめ、そして慌てた。
本文,「いえ、あれは、あの時だけの思い附きで、例えば、万里の長城にしても同じことです。」
本文,「なに、万里の長城がどうしたって……。」
本文,「延々と三千キロに近いあの大城壁です。
本文,辺境蛮族の侵入を防ぐための大工事ですが、あれだって、淮河の治水工事と……。」
本文,青木は言葉につまった。
本文,「そうだ、日本にも一種の万里の長城が必要なんだ。
本文,たとえ徐々にしても、国防の背骨となるべき軍備が必要だ。
本文,ところが、その再軍備の方法について、諸説まちまちで、一向に纒っていない。
本文,第一、旧陸軍方面と旧海軍方面との、意見の喰い違いが甚しいし、そのほか各方面で勝手なことを主張しているんだ。
本文,国論の統一、万里の長城を築くことが、目下の急務さ。
本文,自由主義とか、平和主義とかは、問題にならん。
本文,そんな隙間から、敵に乗ぜらるることになるんだ。」
本文,青木はすっかり腐ってしまった。
本文,なんだって今、万里の長城なんか持出したのかと後悔しても、もう追っつかなかった。
本文,「すべて万里の長城のためさ。
本文,先程言ったこと、やってくれるね。
本文,喜久家の費用は僕が引受けるから、いいかね。」
本文,「とにかく、よく考えてみましょう。」
本文,それだけ答えるのが、青木には漸くのことだった。
本文,夜の街路を、青木は飄々乎と歩いていった。
本文,通り馴れた途筋で意識せずとも自然に足は一定の方向へ動いた。
本文,或る屋台店で、鰻の頭をかじりながら焼酎を飲んだ。
本文,それからまた歩いた。
本文,地階への狭い入口がぽかりと開いてるのを見定めて、よろよろと降りていった。
本文,幾つかの店に区切られてるその一番奥に、壁に沿って白木の卓が並んでる飲屋があった。
本文,端っこの隅の卓で、丸田が日本酒を飲んでいた。
本文,石村証券の社員である。
本文,青木はその前に行って佇んだ。
本文,「あ、いらっしゃい。
本文,ここでよく逢いますなあ。」
本文,青木は黙って彼の顔を見ていた。
本文,「どうかなすったのか。
本文,顔色がよくありませんぜ。」
本文,青木は薄笑いを浮べて、腰を下した。
本文,差された杯を受けながら、丸田の顔をつくづくと見た。
本文,「あんたは会計の方の係りだから、知ってるでしょうが、石村証券の経営状態は、今のところ、どうなっていますか。」
本文,「赤字ですなあ。」
本文,「それじゃあ、退職金も出せませんか。」
本文,五十過ぎた律儀な丸田は、妙な顔をして青木を眺めた。
本文,「退職金について、石村さんは約束したことがありますね。」
本文,それは事実だった。
本文,石村商事を石村証券に切り換える時のことだった。
本文,どうせ当分は仕事もあまりあるまいが、諸君の生活は僕が保証する、と石村は社員たちに誓った。
本文,そして退職金については、一年間の勤務につき一ヶ月分の給与の割合で出すから、黙って仕事をしていてくれ、と約束したのである。
本文,丸田はなだめるように言った。
本文,「会社の方はだめですが、心配はいりませんよ。
本文,私にはよく分りませんが、商事時代にたくさん儲けていますし、石村さんの資産は相当なものだと思われるふしがあります。
本文,社員の退職金なんか問題じゃないでしょう。」
本文,青木はもう外のことを考えて黙っていた。
本文,「何を考え込んでいますか。
