type,text
本文,桃代の肉体は、布団の中に融けこんでいるようだった。
本文,厚ぼったい敷布を二枚、上に夜着と羽根布団、それらの柔かな綿の中に、すっぽりとはいっているので、どこに胴体があるのか四肢があるのか、見当がつかない。
本文,実は、体躯はそこにあるに違いないが、それも既に、死の冷却と硬直と分解に委ねられているだろう。
本文,それは彼女の肉体ではない。
本文,――肉体の喪失を、私はそこに感じた。
本文,彼女の枕辺近くに坐った時の、その感じは奇妙なものだった。
本文,私は彼女に告別に来たのだが、彼女の肉体はそこになかった。
本文,それでも、彼女はそこにいた。
本文,彼女の顔がそこにあった。
本文,白布をかぶり、髪の毛を解き流しにして、仰向けに、長い枕の上に埋まっている。
本文,その顔の白布を、喜美子はそっとまくった。
本文,死顔を私に見せるつもりらしい。
本文,だが、彼女はすぐ堪えきれなくなって、白布を元に戻し、涙をほろほろとこぼし、声を立てずに泣いた。
本文,雨が降るような自然な泣き方だ。
本文,私は数秒、死顔を見た。
本文,殆んど生前通りだった。
本文,誰がしたのか、唇には紅がぬってある。
本文,眼も凹んでいず、閉じた瞼に、長い睫毛が並んでいる。
本文,ただ、頬の肉附が、指で押したらそこだけ凹みそうな工合だ――。
本文,急性肺炎で倒れてから三日間、手当のひまもないほど急に、心臓の働きがとまってしまった由である。
本文,「桃代さんが、急に、亡くなりましてね……。」
本文,私の顔色は見ないで、独語のように、加津美のお上さんは言った。
本文,「お別れに、いらっしゃるんでしょう。
本文,……様子を見てくるわ。」
本文,喜美子は一人できめて、向う隣りの桃代の家へ駆けだしていった。
本文,そして私は喜美子に案内されて、桃代に別れに行ったのだが、気持ちは、悲しみではなく、なにか大きな喪失感だった。
本文,前々日、加津美で、桃代が病気なのを聞いた時、そして一人で飲んでいた時、へんな肌寒さを予感のように感じたものだが、それも心配の種にはならなかった。
本文,それから、彼女の寝姿を前にして、ただ、何かがなくなった、という気持ちにぴたりと落着いた。
本文,――彼女の肉体がなくなったのだ。
本文,油単のかかってる箪笥、覆いのしてある鏡台……、こまごました器物は取り片づけられてる、簡素な感じの室で、小さな床の間に、香炉が一つ置かれている。
本文,そのそば、青銅の花瓶に、真白な木蓮の花が活けてある。
本文,――ほのかな香りが漂ってくるのは、香炉からではなく、白木蓮の花からだった。
本文,「あれ、喜美ちゃんが持って来たの？」と私は尋ねた。
本文,喜美子はもう泣きやんでいて、すがすがしい感じの頷き方をした。
本文,「あの花、たいへん好きだったわ。
本文,だから、あたし、活けてあげたの。
本文,前にも、なんども持ってきたわ。」
本文,それは私も知っている。
本文,――加津美の狭い庭に、分不相応とも言えるほど大きな木蓮の木がある。
本文,板塀より高く、低い植込みの上に、すくすくと伸びあがり、枝を拡げていて、春先には、真白な大輪の花を一面につけ、あたりに芳香をまき散らす。
本文,その花を、喜美子は桃代に持ってってやった。
本文,私も二度ばかり、花の小枝を折り取る役目をさせられた。
本文,だがこの花、活けるには厄介な枝ぶりで、桃代と喜美子はそのためにずいぶん時間をかけた。
本文,「ご免なさい。
本文,お待たせして……。
本文,でも、あれ、活けるのに面倒よ。」
本文,一人で待ちくたぶれて、そして飲んでいると、桃代は上気した顔でやって来て、二階の座敷のすぐ前面に馥郁と咲き匂ってる木蓮の方へ、私の方へではなく、笑顔を向けるのだった。
本文,彼女の家に、私は行ったことがない。
本文,なぜなら、私は彼女の旦那ではなく、そして彼女には、めったに来ないがとにかく旦那と名のつく人がいた。
本文,肉体の関係は当人同士の自由だが、旦那持ちの芸者の家への出入は道義に反する。
本文,彼女の死は、その道義の関を開いてくれた。
本文,私は何の逡巡もなしに、彼女の家の敷居をまたぎ、彼女に別れに行ったが、そこにはもう彼女の肉体は見出せなかった。
本文,ただ彼女が、いや彼女の顔があった。
本文,白布に覆われたその顔の近くに、白木蓮の花があった。
本文,私はその花を眺め、それが心にしみこんだ。
本文,そしてはじめて、涙が眼にたまってきた。
本文,節太い枝先にぽかっと出てる、大きな六花弁の白い花、やさしく訴えるような香り、それが、なにかしら淋しいのだ。
本文,――じっと見ていると、桃代によりも寧ろ、喜美子に通うものがある。
本文,喜美子は加津美で、仲居ともつかず、養女ともつかずわりに気儘な立場にいる。
本文,十七八歳の体躯で、痩せ型の方で、色の白い顔は、肉附きも皮膚も薄い感じがして、清楚でそして淋しい。
本文,口を利く時、笑う時、長めの小さな糸切歯が唇から覗き出して、特別に可愛く見える。
本文,その全体が、へんに頼りないのだ。
本文,――私はいつも、彼女からへんな印象を受ける。
本文,このひとは、たいへん不幸な目に逢うことになるかも知れない。
本文,長い病気にかかることになるかも知れない。
本文,いつまでも消えない悲しみを胸に懐くようなことになるかも知れない。
本文,今でもその日々が、淋しい頼りないものであるかも知れない……。
本文,もとより彼女はそのようなことを意識してはいない。
本文,だが、彼女の存在そのものが私にそのような印象を与えるのだ。
本文,そんなことを私が思うのは、彼女を愛してるからであろうか。
本文,いや、私は普通の意味で彼女を愛してはいない。
本文,私はただ、その顔のすがすがしい感じが好きだし、その糸切歯の可愛らしい感じが好きなのだ。
本文,酔っ払って、自分自身を持てあまして、そして彼女をじっと見ていると、なにかしら胸が切なくなるのだ。
本文,そのために、と言えば理屈に合わないが、私はしばしば喫茶店カツミへも行った。
本文,終戦後、花柳界がどういうことになるやらまだ見通しもつかない頃のこと、加津美ではすぐ近所に、小さな喫茶店を開いていた。
本文,喜美子とも一人の女中とが店に出ていて、お上さんもたいていいた。
本文,もう五十歳にもなるこのお上さん、宇山かつは、真白に白粉をぬり、時折は丸髷に赤い手絡をかけ、はでな錦紗の着物などをつけて、客に煙草をねだることもあった。
本文,粗末な珈琲や蜜豆や菓子の類が表面の看板で、内実は主として酒場だ。
本文,ウイスキーやビールはまあ普通の品だが、日本酒はひどく水っぽい。
本文,よほど酔ってでもいなければ、まともには飲めない。
本文,「お上さん、こいつは、ちっとひどいよ。」
本文,「そうですか、どれ……。」
本文,しゃがれた太い声で、お上さんは手を差出して、客の杯を受けぐっと一息に味わう。
本文,「なるほど、これは少しひどいようですね。」
本文,それきりで、澄ましこんでるので、話にもならない。
本文,――もっとも、酒の品質の責任は、お上さんにはなく、舞台裏にぶらついている調理人にあったのだ。
本文,だが、勘定の方は主としてお上さんがきめた。
本文,勝手にきめた。
本文,同じ飲食品でも、時によって高低がある。
本文,また、例えば三杯飲むと、一杯分の四五倍もの勘定になることがある。
本文,つまり、お上さんの計算では、税金の加算がでたらめなのだ。
本文,そういうカツミで、喜美子はいつも、ほのかな笑みを眼元に漂わせ、可愛いい糸切歯をちらちら見せながら、安らかに振舞っていた。
本文,客から言葉をかけられると、短い受け答えをするが、自分から話しかけることはない。
本文,室の隅には大きな蓄音機があるが、それは殆んど使われなかった。
本文,――私は彼女と二人きりになるのが好きで、彼女の顔を見ながら、別に話をするでもなく、静かに杯をなめるのだが、そういう時、なんだか彼女の薄命とか不仕合せとかいう感情が胸に来て、しんみりとした切なさを覚えるのである。
本文,そのくせ、或はその故か、桃代がやって来ると、私はほっと安心する。
本文,こんな所の女にしてはいやに手の太い、すべてが大柄なぱっとした桃代は、その存在で、喜美子をかばいこんでしまうようだ。
本文,桃代は若い妓などを連れて、蜜豆をつっつきに来るのだが、喜美子にやさしい眼差しと言葉を投げかける。
本文,白紙に包んだ葡萄糖の大きな塊りを、袂から取り出して彼女に与える。
本文,「これ、なんだか知ってる。」
本文,「あら、こないだも頂いたわ。」
本文,そんな、前のことなどはどうでもいいという風に、桃代はナイフを借りて、小さな一片を切ってやる。
本文,「食べてごらんなさい。
本文,うまいわよ。
本文,でも、一度にあまり食べると、下痢をするんですって。
本文,少しずつ食べるのよ。」
本文,桃代は喜美子だけにしかやらない。
本文,それを、若い妓たちも、お上さんも、いつものことと馴れてるらしく、わきから手を出さない。
本文,――桃代はなんども葡萄糖の塊りを喜美子に持って来てくれた。
本文,其後、喫茶店カツミを宇山かつはやめて、加津美だけをやるようになると、桃代は葡萄糖の代りに、長唄を喜美子に稽古してやった。
本文,喜美子は芸妓になるのではなかったが、一通りの遊芸事は習っていて、桃代が長唄の名取りであるところから、日時をきめず暇に任せて、桃代の方から進んで教えた。
本文,喜美子は私の前で、何のはにかみもなく三味線を手に取ることもあった。
本文,技倆はまだ進んではいないが、覚えたものは確実に自分のものとしてるところがある。
本文,私の知ってる限りでは、彼女は「小鍛冶」が好きだ。
本文,「稲荷山三つの灯し火明らかに心をみがく鍛冶の道…」のその最初から、彼女の明るい顔は白皙とも言えるほどに澄んでくる。
本文,それから、剣を鍛える槌の音と麻衣を打つ砧の音と交錯するあたり、彼女の撥音は鮮かに冴えてくる。
本文,――そのように私が感ずるのも、酔い痴れた悲痛な心情から、小狐丸の名剣などに憧れる故であろうか。
本文,それとも、一片の清純な愛情を喜美子に寄せてる故であろうか。
本文,それはとにかく、喜美子は、喫茶店カツミの濁った空気にはふさわしくなかったし、また、加津美の遊蕩な空気にはふさわしくないのだ。
本文,加津美のある一区域の外には、戦災による焼け跡が見渡す限り拡がっている。
本文,終戦後まだ一年半あまりで、電車通りなどにはぽつぽつ小さな家が建ってはいるが、だいたい原っぱだ。
本文,あちこちに瓦礫の堆積があり、いら草の茂みが冬枯れのままに残り、小さく区切った耕作地には、麦が伸びあがり蚕豆の花が咲きだしている。
本文,その原っぱへ出ると、喜美子は、いっそう新鮮に子供っぽくなる。
本文,道路からちょっとはいったところに、腰をおろすのに恰好な石があるので、道で出逢った喜美子を誘うと、彼女はすなおに頷いてついて来る。
