type,text
本文,明治三十七年の春から、三十八年の秋へかけて、世界中を騒がせた日露戦争が漸くポウツマス条約に終りを告げ、国力発展の名の下に、いろいろの企業が続々と勃興して、新華族も出来れば成り金も出来るし、世間一帯が何となくお祭りのように景気附いて居た四十年の四月の半ば頃の事でした。
本文,丁度向島の土手は、桜が満開で、青々と晴れ渡った麗らかな日曜日の午前中から、浅草行きの電車も蒸汽船も一杯の人を乗せ、群衆が蟻のようにぞろぞろ渡って行く吾妻橋の向うは、八百松から言問の艇庫の辺へ暖かそうな霞がかゝり、対岸の小松宮御別邸を始め、橋場、今戸、花川戸の街々まで、もや／＼とした藍色の光りの中に眠って、其の後には公園の十二階が、水蒸気の多い、咽せ返るような紺青の空に、朦朧と立って居ます。
本文,千住の方から深い霞の底をくゞって来る隅田川は、小松島の角で一とうねりうねってまん／＼たる大河の形を備え、両岸の春に酔ったような慵げなぬるま水を、きら／＼日に光らせながら、吾妻橋の下へ出て行きます。
本文,川の面は、如何にもふっくらとした鷹揚な波が、のたり／＼とだるそうに打ち、蒲団のような手触りがするかと思われる柔かい水の上に、幾艘のボートや花見船が浮かんで、時々山谷堀の口を離れる渡し船は、上り下りの船列を横ぎりつゝ、舷に溢れる程の人数を、土手の上へ運んで居ます。
本文,其の日の朝の十時頃の事です。
本文,神田川の口元を出て、亀清楼の石垣の蔭から、大川の真ん中へ漕ぎ出した一艘の花見船がありました。
本文,紅白だんだらの幔幕に美々しく飾った大伝馬へ、代地の幇間藝者を乗せて、船の中央には其の当時兜町で成り金の名を響かせた榊原と云う旦那が、五六人の末社を従え、船中の男女を見廻しながら、ぐびりぐびりと大杯を傾けて、其の太った赭ら顔には、すでに三分の酔いが循って居ます。
本文,中流に浮かんだ船が、藤堂伯の邸の塀と並んで進む頃、幔幕の中から絃歌の声が湧然と起こり、陽気な響きは大川の水を揺がせて、百本杭と代地の河岸を襲って来ます。
本文,両国橋の上や、本所浅草の河岸通りの人々は、孰れも首を伸ばして、此の大陽気に見惚れぬ者はありません。
本文,船中の様子は手に取るように陸から窺われ、時々なまめかしい女の言葉さえ、川面を吹き渡るそよ風に伝わって洩れて来ます。
本文,船が横網河岸へかゝったと思う時分に、忽ち舳へ異形なろくろ首の変装人物が現れ、三味線に連れて滑稽極まる道化踊りを始めました。
本文,女の目鼻を描いた大きい風船玉へ、恐ろしく細長い紙袋の頸をつけて、其れを頭からすっぽり被ったものと思われます。
本文,本人の顔は皆目袋の中へ隠れて、身にはけば／＼しい友禅の振袖を着、足に白足袋を穿いては居るものゝ、折り／＼かざす踊りの手振りに、緋の袖口から男らしい頑丈な手頸が露われて、節くれ立った褐色の五本の指が殊に目立ちます。
本文,風船玉の女の首は、風のまにまにふわ／＼と飛んで、岸近い家の軒を窺ったり、擦れ違いさまに向うの船の船頭の頭を掠めたり、その度毎に陸上では目を欹て、見物人は手を打って笑いどよめきます。
本文,あれ／＼と云ううちに、船は厩橋の方へ進んで来ました。
本文,橋の上には真っ黒に人がたかり、黄色い顔がずらりと列んで、眼下に迫って来る船中の模様を眺めて居ります。
本文,だん／＼近づくに随い、ろくろ首の目鼻はあり／＼と空中に描き出され、泣いて居るような、笑って居るような、眠って居るような、何とも云えぬ飄逸な表情に、見物人は又可笑しさに誘われます。
本文,兎角するうち、舳が橋の蔭へ這入ると、首は水嵩の増した水面から、見物人の顔近くする／＼と欄干に軽く擦れて、其のまゝ船に曳かれて折れかゞまり、橋桁の底をなよ／＼と這って、今度は向う側の青空へ、ふわり、と浮かび上がりました。
本文,駒形堂の前まで来ると、もう吾妻橋の通行人が遥かに此れを認めて、さながら凱旋の軍隊を歓迎するように待ち構えて居る様子が、船の中からもよく見えます。
本文,其処でも厩橋と同じような滑稽を演じて人を笑わせ、いよ／＼向島にかゝりました。
本文,一丁ふえた三味線の音は益々景気づき、丁度牛が馬鹿囃しの響きに促されて、花車を挽くように、船も陽気な音曲の力に押されて、徐々と水上を進むように思われます。
本文,大川狭しと漕ぎ出した幾艘の花見船や、赤や青の小旗を振ってボートの声援をして居る学生達を始め、両岸の群衆は唯あっけに取られて、此の奇態な道化船の進路を見送ります。
本文,ろくろ首の踊りはます／＼宛転滑脱となり、風船玉は川風に煽られつゝ、忽ち蒸汽船の白煙りを潜り抜け、忽ち高く舞い上って待乳山を眼下に見、見物人に媚ぶるが如き痴態を作って、河上の人気を一身に集めて居ます。
本文,言問の近所で土手に遠ざかって、更に川上へ上って行くのですが、それでも中の植半から大倉氏の別荘のあたりを徘徊する土手の人々は、遥かに川筋の空に方り、人魂のようなろくろ首の頭を望んで、「何だろう」「何だろう」と云いながら、一様に其の行くえを見守るのです。
本文,傍若無人の振舞いに散々土手を騒がせた船は、やがて花月華壇の桟橋に纜を結んで、どや／＼と一隊が庭の芝生へ押し上がりました。
本文,「よう御苦労、御苦労。」
本文,と、一行の旦那や藝者連に取り巻かれ、拍手喝采のうちに、ろくろ首の男は、すっぽり紙袋を脱いで、燃え立つような紅い半襟の隙から、浅黒い坊主頭の愛嬌たっぷりの顔を始めて現わしました。
本文,河岸を換えて又一と遊びと、其処でも再び酒宴が始まり、旦那を始め大勢の男女は芝生の上を入り乱れて、踊り廻り跳ね廻り、眼隠しやら、鬼ごッこやら、きゃッきゃッと云う騒ぎです。
本文,例の男は振袖姿のまゝ、白足袋に紅緒の麻裏をつッかけ、しどろもどろの千鳥足で、藝者のあとを追いかけたり、追いかけられたりして居ます。
本文,殊に其の男が鬼になった時の騒々しさ賑やかさは一入で、もう眼隠しの手拭いを顔へあてられる時分から、旦那も藝者も腹を抱えて手を叩き、肩をゆす振って躍り上ります。
本文,紅い蹴出しの蔭から毛脛を露わに、
本文,「菊ちゃん／＼。
本文,さあつかまえた。」
本文,などゝ、何処かに錆を含んだ、藝人らしい甲声を絞って、女の袂を掠めたり、立ち木に頭を打ちつけたり、無茶苦茶に彼方此方へ駈け廻るのですが、挙動の激しく迅速なのにも似ず、何処かにおどけた頓間な処があって、容易に人を掴まえることが出来ません。
本文,皆は可笑しがって、くす／＼と息を殺しながら、忍び足に男の背後へ近づき、
本文,「ほら、此処に居てよ。」
本文,と、急に耳元でなまめかしい声を立て、背中をぽんと打って逃げ出します。
本文,「そら、どうだ／＼。」
本文,と、旦那が耳朶を引っ張って、こづき廻すと、
本文,「あいた、あいた。」
本文,と、悲鳴を挙げながら、眉を顰め、わざと仰山な哀れっぽい表情をして、身を悶えます。
本文,其の顔つきがまた何とも云えぬ可愛気があって、誰でも其の男の頭を撲つとか、鼻の頭をつまむとか、一寸からかって見たい気にならない者はありません。
本文,今度は十五六のお転婆な雛妓が、後へ廻って両手で足を掬い上げたので、見事ころ／＼と芝生の上を転がりましたが、どッと云う笑い声のうちに、再びのッそり起き上り、
本文,「誰だい、此の年寄をいじめるのは。」
本文,と、眼を塞がれた儘大口を開いて怒鳴り立て、「由良さん」のように両手を擴げて歩み出します。
本文,此の男は幇間の三平と云って、もとは兜町の相場師ですが、其の時分から今の商売がやって見たくて耐らず、とう／＼四五年前に柳橋の太鼓持ちの弟子入りをして、一と風変ったコツのある気象から、めき／＼贔屓を拵え、今では仲間のうちでも相応な好い株になって居ます。
本文,「桜井（と云うのは此の男の姓です。
本文,）の奴も呑気な者だ。
本文,なあに相場なんぞをやって居るより、あの方が性に合って、いくら好いか知れやしない。
本文,今じゃ大分身入りもあるようだし、結句奴さんは仕合わせさ。」
本文,などゝ、昔の彼を知って居るものは、時々こんな取り沙汰をします。
