type,text
本文,ドアが開くと、一人の青年が入ってきた。
本文,青年は流行のシルキイな布地の背広をぴったりと身につけ、暗緑色のサン・グラスで顔をかくしていた。
本文,そのまま、彼はすばやく室内をながめた。
本文,彼女はゆっくりとベッドから起き上った。
本文,「いらっしゃい、坊や」
本文,青年はサン・グラスをはずした。
本文,色白で女性的な面だちの、ただ眉だけが濃いその顔に、いかにも人工的な、不自然な微笑がうかんだ。
本文,彼はつかつかと歩み寄って彼女を抱き、接吻した。
本文,彼女はかるい呻き声をもらした。
本文,「ねえ、冗談なんでしょう？いまの電話」
本文,同じつくりつけたような微笑のまま、青年はいった。
本文,彼女は、部屋の中央に歩いた。
本文,そのテーブルには、すでに半分ほどになったコニャックの瓶と、二つのグラスがあった。
本文,「……真白なスポーツ・カーを買ったんですって？」
本文,彼女は、それが癖らしい疲れたような声でいった。
本文,「すてきね。
本文,でも、ここに乗りつけたのはどうやら違う車だったようね。
本文,私、この窓から見てたの」
本文,彼女はレースのカーテンの下りた窓を背にして、コニャックを掌で温めながら笑いかけた。
本文,「でも、よく来てくれたわ。
本文,私、もう来てくれないんじゃないかって考えていたの」
本文,「そんなこと……、ぼくの愛しているのは先生だけだってこと、先生だって知っているはずじゃないの」
本文,青年は甘えるような表情をつくった。
本文,が、その声にはあきらかに演技が感じられた。
本文,「そうちょいちょい逢いにくるわけにもいかないし、目立つような真似はできない。
本文,ぼくだって苦しいんだ。
本文,……先生だけは、わかって下さると思っていた」
本文,「そうね、わかってるわ。
本文,よく」
本文,彼女は頬笑みながら、うっとりとしたようにその青年をみつめた。
本文,「ほんとにわかっていてくれるの？」
本文,「ええ。
本文,ほんとにわかっているつもりよ」
本文,「じゃ、どうしてさっきの電話みたいなこと、いったりなんかするの？」青年は絨毯にひざまずいて、彼女の手を握った。
本文,「ね。
本文,いってよ、ただのおどかしなんでしょ？そうなんでしょ？」
本文,「だいぶ、おいそぎのようね」
本文,彼女は笑いながら答えた。
本文,「これから、すぐ飛行機で大阪に……」
本文,「そう、それは結構ね。
本文,いやみじゃなく、おめでとうをいわせてもらうわ」
