,S00,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99
13,0.025660891681801815,0.0,0.054237800582362876,0.06682795326205482,0.17050435782018347,0.27614149027083906,0.33150724567009415,0.1997209928091288,0.14535396028328568,0.07837773910203269,0.2184438776361319,0.08930817987375764,0.05633769268753172,0.077769614172247,0.13209260852414442,0.3016923472663287,0.4169864326286138,0.5133944020424995,0.36804065807170533,0.3398628361889168,0.40295209532771525,0.2794595664218339,0.19787214445306242,0.15877088289051192,0.23753859529811702,0.25632774416934556,0.2247140051411841,0.1168666802730253,0.15508813032220797,0.19799302120744078,0.18619026457899437,0.2156368688104979,0.17842446602983716,0.09330764942594125,0.1822758985073208,0.32824110738712076,0.5210719689180555,0.4828517452749374,0.40562184887462255,0.3844305488315274,0.3936654493903756,0.4194965075341626,0.3710231823288988,0.31277042464876875,0.26590186940798927,0.27430806061199714,0.23598265287578382,0.2745593938100834,0.2199197522755839,0.22676187647442514,0.2896770869614116,0.2630409146768984,0.04662931862791867,0.10874596819446333,0.008489967269095925,0.10028406937698628,0.1364066202620407,0.06580447189931252,0.2137054260082401,0.23306209881221224,0.28666605471895734,0.3607123362900645,0.39512566400600196,0.31091135362163846,0.33375566131483947,0.39076747139461976,0.2832182594449171,0.247209227830772,0.13917180716384916,0.10262101472058277,0.17632426279678945,0.12193588585024674,0.229992622174457,0.34784541749491227,0.31889533714715534,0.3284575089765729,0.25640001969970816,0.4125251337628495,0.45108508856192725,0.46565475068063383,0.6089807546736805,0.5261866977926505,0.5404379574529423,0.500400499238526,0.5277537074100372,0.716040270400439,0.7429213551184208,0.6394788482092226,0.6574706730481771,0.6830487408686671,0.7307197716189429,0.7692523933812272,0.7445094108930276,0.7964720471711004,0.7472932859553142,0.6336554481659163,0.6446518299425071,0.5873571879447769,0.7107781031221698,1.0
19,0.582562672547936,0.5488848418314489,0.555228041976183,0.5777444582697442,0.582888264949278,0.6404446874427412,0.6394443568258604,0.669646921389074,0.6330423422783326,0.5896993125558274,0.5480301780067084,0.5074222821319717,0.5927563372649085,0.6679260450060186,0.7660909060355146,0.851615513084275,0.8863195419210965,0.8636220226313399,0.8811096877860993,1.0,0.958687187101667,0.9420164923689048,0.9018483667448091,0.8627810071920342,0.8913730311535816,0.8519801954145632,0.8404157139651683,0.8559149692591421,0.8809213950139867,0.9162926651389497,0.8412946495644318,0.7291102623224253,0.6164265171184287,0.600061078117308,0.6347138371317863,0.542248897474818,0.5029718884779792,0.4777582452056198,0.5601109039419311,0.5290857095893926,0.499060251001,0.4538688971296801,0.363315491937406,0.35105582019809944,0.3373404102581769,0.22157428341006938,0.2083323428576055,0.1682341777502065,0.20960314409837716,0.20345279148235096,0.22711492785713236,0.1488187394615152,0.16021370246912128,0.20827896722416347,0.09889419943226777,0.023706823592418592,0.009896564302867141,0.0,0.010874561846468319,0.006148998556149456,0.021698405284490935,0.024523104828086284,0.03809907610021188,0.06196918595794563,0.08869253888960946,0.06528254746026711,0.08601240865917124,0.15217948819696672,0.11008819103816112,0.1570638891618206,0.15463297207947274,0.27464070753795444,0.3706230587455095,0.39365730941876137,0.4174343856054321,0.4931589004981156,0.5783747096049702,0.6116592317973754,0.6171963136114372,0.6493458376595201,0.7231417534320218,0.7568750474395057,0.8211575453386528,0.8516065481510952,0.792538529326438,0.802216723676564,0.7878602527764166,0.7581432203064491,0.6449394434956024,0.5900966711031487,0.5813375582664009,0.5374013413966129,0.49391466300496556,0.5041667275107546,0.4622027268922037,0.4162331053062572,0.4106061553453593,0.40727008375955065,0.372275964532039,0.3377270898252851
24,0.5581495305325932,0.5733974485003455,0.5598969604122855,0.5564151835589924,0.5279303691639404,0.40373341169164595,0.37023611668585105,0.46566530525152805,0.5230252889577388,0.45764764178537026,0.43343168378237634,0.4384578926443542,0.42945750608807426,0.47256777996732774,0.4618753071824745,0.5026587710471273,0.5024170250060129,0.40974100177521733,0.491255017444003,0.5020181511531979,0.4305780305943244,0.4341841793123474,0.520505935164156,0.5911897648895597,0.5446596747802903,0.5420175156754691,0.6009265052335988,0.5555793664751548,0.5051941542404405,0.5256182208354321,0.5340946857469036,0.46694931777031556,0.4386026509247206,0.4909353525301194,0.5132146597153906,0.4357755036969205,0.38163538132672725,0.41727480841421766,0.407862267251439,0.3749164814591508,0.3209589430828331,0.36562554229480904,0.34346235978787854,0.32466912780406626,0.4326363476953485,0.5137027946627284,0.6289236690022331,0.6089129391062953,0.6124294254174867,0.6316502378787526,0.6229275731709015,0.5621639165932726,0.7099428360121637,0.8228859290924787,0.8340068118167738,0.845055481418108,0.8087048858548281,0.8864235892870508,0.8768814049006619,0.8385419298759014,1.0,0.936816476385624,0.9931777444253513,0.8945211017882956,0.8370780917392944,0.8629634009732378,0.8173001217342037,0.8447822869716825,0.8218776297322125,0.7798753685273985,0.769245270784754,0.7600124626133214,0.7396860409825945,0.7326151165734734,0.6459456232940377,0.6600655927898897,0.6517537895017508,0.5606978721751545,0.47671826108666654,0.40737474644299987,0.4374742159474631,0.3940678606497475,0.3244287585824747,0.3091750295438375,0.24562702510322193,0.2566670068859898,0.19502429285939618,0.10634551185847221,0.06625141266633135,0.10082920330398072,0.02867142399451341,0.0,0.009338061218192074,0.09927282741714154,0.11730670723486404,0.07828286584182928,0.06604059170180211,0.07866242583764332,0.09390795122260279,0.2922875289762076
30,0.6300499087911389,0.5710006257916304,0.5430938668579441,0.5484301616826937,0.48418602860093757,0.56136482517808,0.5044282079233584,0.5395052527874086,0.42854013278642616,0.5036743550816698,0.47933060072942557,0.4239772032154929,0.3062260447163753,0.2698822907674257,0.22812450715800864,0.27056827733800715,0.3747829444587607,0.3794254435328522,0.4979335319883326,0.5316681023155372,0.5658554379971673,0.6799446819313929,0.6872838939762979,0.774303510625258,0.8188567771561066,0.8171420750356895,0.8217549779097004,0.8347063405338888,0.7474635022471516,0.7868221776852882,0.8844901301074034,0.9353099203557583,0.9953859214198272,1.0,0.9704852092166041,0.9203361312322247,0.9280823092562406,0.8493456473303052,0.8084869561473519,0.8208258237095918,0.700982921415072,0.6079231599283177,0.46514926490115266,0.4249290376077285,0.37296013509343806,0.32081907972841184,0.33749616859729054,0.25634009174577466,0.2593764812649214,0.1868402657878819,0.08495755107964982,0.0,0.030572305058202427,0.06656222309836635,0.08648974228690295,0.14042810148473517,0.14592458399557093,0.14056984053352764,0.10112818591145033,0.2053508080363007,0.32541041697669937,0.3363859643824695,0.4073081540349728,0.4228708200456987,0.4077445339341393,0.44929378995430524,0.5469296702059987,0.583030406906442,0.6200996285199165,0.7742871088407468,0.8098653816216543,0.7777510088168371,0.7944776983590544,0.7340640402574308,0.669350092562898,0.7000650636397707,0.7219593535397288,0.6332639986447237,0.606468708873283,0.5611712659118301,0.5451856547992899,0.5452116221078703,0.4523598968137993,0.438772342724395,0.4436027026303881,0.4039959721795507,0.3467368932058693,0.2601851939384239,0.1745356380093629,0.22732673052651398,0.26522811589822437,0.4220516813345087,0.512738152337042,0.5773168117969214,0.5933484554513084,0.5575346062444202,0.6429393555427281,0.6038719544707517,0.6038719544707517,0.551362399619924
41,0.9114605804612889,1.0,0.9470666818657698,0.8834124936596385,0.8428818707518708,0.8852473845682242,0.8417338535169399,0.750501873383205,0.7460906814238037,0.7633769943522939,0.6777551517014434,0.6421177284703522,0.6029666106171493,0.5227003386410334,0.4608451824385178,0.41022500699376724,0.40781527451015454,0.3784120969968512,0.44883862024478827,0.46517650880815686,0.3760409463207986,0.4464470267452887,0.4909518738659094,0.5591703107082839,0.5103188910815282,0.5121061646038595,0.5672665691993779,0.4948847956379078,0.4581945629649915,0.4147968799589781,0.3910829435392837,0.44602360013780046,0.39026010476690326,0.3403184371114624,0.336745007064529,0.33012347377615897,0.24147857586454718,0.1289283360298549,0.14864768584717142,0.18550944827178575,0.11852405463232563,0.07960363286673161,0.02749231916052857,0.01760519989502904,0.0,0.11494288300948435,0.1646195471141129,0.2858655890540927,0.40994367258315667,0.45791062516802616,0.46103278107244305,0.5282143739761971,0.5536578434563881,0.5476045791065214,0.6478188800880517,0.627607443098784,0.5840127020261597,0.6045095001650292,0.5443524230729664,0.5416118169512493,0.47951957331610606,0.4411970267281428,0.4659115117202985,0.51912765670522,0.48872998610872365,0.5325577969521669,0.4618318809955722,0.41020383093569374,0.4824404568198168,0.47881288390102505,0.5269515243318535,0.514845955796308,0.47572514362956897,0.454239928824723,0.4467092572168633,0.4570950879803487,0.47251546301055614,0.5360791239718533,0.5799532728231138,0.5182578926817467,0.5681192043274292,0.5857878623006592,0.46983684900207445,0.42941315202566416,0.49025108033297177,0.44915402182541136,0.49223698025732576,0.40258243490642526,0.3506635766310447,0.355112356194384,0.3777155687310881,0.3714799074771264,0.4310618951366525,0.44372774620301153,0.395933819844224,0.44492190099131423,0.4240339385685258,0.525713839410837,0.572374782113834,0.6507174216808054
46,0.16030378069169357,0.17410845021731516,0.1781744479089601,0.20847927766224172,0.23224824501153157,0.3740002034676099,0.5366657007719154,0.5698554864768521,0.5693635137546268,0.5464962716024099,0.4959411766888305,0.3899715538052704,0.3109427977181355,0.30333682669353207,0.33817151315421695,0.3139009250337597,0.3736470810899618,0.3780342955625833,0.4403177073594575,0.47825848176414804,0.5132482804643763,0.5035212030719055,0.45460118843235214,0.3696739981556621,0.37600864122750105,0.2754305431415254,0.1967787527409412,0.1967787527409412,0.25675888626407484,0.313360241938059,0.25085989026089317,0.3467621639656149,0.4317560330260328,0.4842060096639241,0.4825079489567085,0.3831542832474648,0.3831542832474648,0.23894391243619073,0.251844375421223,0.15162018921965825,0.22458432378120766,0.1391062102617818,0.05658367031316302,0.09383267919935023,0.024550653748209524,0.057217261002829374,0.0887804499218319,0.09378727565294859,0.04294143962937608,0.0,0.054335126399385446,0.0713077580717282,0.08486803764654166,0.1638891278941955,0.1418078486785022,0.22933752954693878,0.22933752954693878,0.2998238439514576,0.4196041638328785,0.6479103954380521,0.5603683996967926,0.6284008022352696,0.7452638869533479,0.7742884856963982,0.8753643793088505,0.9278130542583396,0.7419100693886441,0.8842247675937309,0.9515251075335969,0.9783985996751359,1.0,0.9373873352295485,0.9057986047690151,0.8416936335544395,0.8368300836014646,0.803163136996576,0.741032567159591,0.7040503020618336,0.6272496118329624,0.34927989888934763,0.3276590858058458,0.4195473618145693,0.42149519831069043,0.3519618579673763,0.3706303220242179,0.39894066326025146,0.5767753699846022,0.6852304798880139,0.5014996056720722,0.5082555506333075,0.5512816225222966,0.48638608641149256,0.6030196595181321,0.598858476885426,0.6137311919783427,0.6092662124647051,0.7432771476777859,0.6988208988707029,0.7853577312372222,0.5197923385915251
47,0.562501885638271,0.6103606194129905,0.7584146125024809,0.8260072119739708,0.9293590047744636,0.9097262191048291,0.9361674720729463,0.964123359319076,0.8795884315399802,0.8784515204677344,0.9220539152337746,0.9514507221724202,0.9738433511462947,0.9711437285401644,1.0,0.9625164475569852,0.9811756388635778,0.9260740874439309,0.8610746692665852,0.7884971603461798,0.7290268343548743,0.5429347127635784,0.4615332394154193,0.325786001751633,0.2684419137935733,0.24062056662623757,0.18096572176081177,0.2031016310237226,0.13416061911314583,0.08926724808330701,0.10134681972372539,0.26764439626178227,0.3158802370026308,0.35061710549870395,0.2825890121160698,0.2825890121160698,0.25936367260484955,0.2008825344804543,0.1309168392998188,0.06126563937740723,0.008316528500413768,0.1400065095329715,0.17178340121859997,0.23786837129607638,0.24222224519328833,0.2882077345967718,0.27746626174475614,0.2370264862710344,0.25668885848603146,0.22424817635125513,0.1745731079358683,0.11256376195220218,0.14138734630095384,0.17431253144511316,0.211930605479733,0.228127085748338,0.28417009111253594,0.4471168364480378,0.47920993477739926,0.5597239799100703,0.47673317259532294,0.49425100974187985,0.5287300259665688,0.5480517409096821,0.5153121719863699,0.43276591114304913,0.43229966071157244,0.43229966071157244,0.4342332551912421,0.35092844384929667,0.37570177380979203,0.4652345441471203,0.47435298969016915,0.4569395734699283,0.4969660775141941,0.47856919741293763,0.47847046525882275,0.45721429310054656,0.42035411282916585,0.4713694425939135,0.4813950030080285,0.44691598678333955,0.37493356111381465,0.38490188519035273,0.5636748106353036,0.6039579485571549,0.5040019442818356,0.47314070898882715,0.4117223790744309,0.3887996237895745,0.4209655546014082,0.3851220781771166,0.3634306401163622,0.30611434632666074,0.2754008888202128,0.22011339853425133,0.18110135698547694,0.08429185997696953,0.0,0.2037937899256041
49,0.9702961157355281,0.8909554369425916,0.8585906389529453,0.8110422707456802,0.7992156607867588,0.8340731715143305,0.7651403355817696,0.7071027953716186,0.6966962034168377,0.7203806531636047,0.6833829653880525,0.6236642358484071,0.5966958573617474,0.6280679449708866,0.5730969369236938,0.49837457454728235,0.399445895575674,0.3852115895828766,0.36717237351223136,0.32840760602199925,0.3015044526296331,0.3000419626064361,0.2901320432624892,0.3067773764684112,0.3880860239928688,0.4021943862117096,0.32563008018096445,0.25817332899793716,0.2157023355261791,0.23576290350382617,0.23264608745204937,0.2355762904330002,0.23661848406266,0.1453327038322736,0.06877941823850736,0.08068324917970157,0.0748389649161407,0.10884625715498704,0.13609797571047394,0.15464157749612797,0.07890572547358066,0.05008433332504717,0.0,0.028164000888642432,0.14626496779566825,0.11720925447898606,0.05836064826148914,0.017548313172676397,0.00104951805557267,0.05540639980313878,0.05987789047137833,0.031192965138265652,0.1067932198956486,0.1399607132274646,0.163066585526418,0.18238665156574632,0.18680676253534292,0.1761445937812045,0.1986584741625928,0.23105003199338453,0.25162694833921184,0.18561884948218937,0.26344666367151576,0.3159798872931806,0.374289406149806,0.40997964221557626,0.41758524812252296,0.46864674657527466,0.5245532006778932,0.5369189370532795,0.5046905279556343,0.46635071949594376,0.49589367913065663,0.4501878071768195,0.46416627124286536,0.530057018180959,0.5685192978465987,0.6690233660471435,0.7538528909071394,0.8032051276959901,0.8216119530379846,0.8935494503138336,0.8859165392895711,0.8623833131762346,0.8464666056284071,0.858062250008174,0.8367949685910692,0.8379040066200132,0.8714128871475127,0.9217277042408832,0.9780137805896527,1.0,0.9650436433207142,0.9603736116654236,0.9061090539609973,0.8345338911981729,0.7962758940673583,0.7550313036871824,0.7288986991282188,0.70481927876201
58,0.504766697015635,0.5275629769724026,0.5838588299599561,0.5962092235127945,0.653328478534551,0.6968172491004261,0.6876823363428679,0.6865567310037736,0.6424924187253291,0.6429545573573859,0.7131672230727243,0.7386852897266205,0.8237593147512385,0.8655489696433445,0.9032425709029192,0.8799165791164273,0.842700982822896,0.8289391002746811,0.847068635707217,0.8432305184172977,0.8280801641089405,0.8475176659108822,0.8145499069684662,0.8248068291557328,0.8455206452054156,0.8572328194526334,0.8390739654860757,0.7504071759255033,0.7316367409283933,0.6648972497454667,0.5854521944524977,0.6250815883358513,0.6177391060832943,0.674108417303982,0.6438443675674537,0.5367717780803812,0.4503379970210715,0.39643184506757545,0.3238265441772624,0.24582524054235122,0.22805917676954876,0.1877988649423261,0.13817852760210542,0.09180001549930057,0.11657803072752351,0.07716994910260094,0.07900405297875561,0.1160945444241104,0.07918629286741943,0.018704789755877214,0.0,0.02697315504374922,0.047772269956065865,0.13735515681987007,0.18037408337165495,0.32348467890362737,0.38251183722883453,0.41639302191452987,0.45336633620155237,0.4742718363556352,0.5141514863300154,0.5721068355510451,0.6344335634064311,0.6926977780786014,0.708249496896321,0.780431349412658,0.8682153105171627,0.9274633229533993,0.9335772169011566,0.924449770464189,0.9653407370099455,0.9685820457844329,0.9588572357068766,1.0,0.9574006130709439,0.8935711517512571,0.8702173953301223,0.8461695752369234,0.8736078223847608,0.8892215451062093,0.8478578654868623,0.8463022224414056,0.8334934707780348,0.7947516260087836,0.7850938910305246,0.8125980762859717,0.8954703421994507,0.8791964039421509,0.8783738444223325,0.8432766353671852,0.7461221822402018,0.7422694010115857,0.7822849348632991,0.7828399819704628,0.7633857925843756,0.7202984864052848,0.6870298019446117,0.6805209581954821,0.6284777318425332,0.7136081931257722
66,0.20369821159123497,0.3009851000626836,0.44127065898122575,0.4965954917348888,0.41276350884744156,0.3443809806681814,0.1701617056799292,0.07436022349762152,0.07270308324346479,0.21233603790702577,0.20494385468583787,0.2950573476912421,0.22419449278850473,0.29236333152156013,0.30582140585817214,0.3313997472200669,0.18724758638909614,0.23659811464282313,0.22382484525493276,0.20077942569661156,0.10823250787864774,0.08860382516305065,0.0,0.06838252817926016,0.15686247973807654,0.08956791756953784,0.29005895456177894,0.18691789804558034,0.232729923751689,0.22731927981962183,0.36914189431413835,0.43072918324849174,0.41655051224657885,0.3923398086535964,0.4225317445095752,0.4686908050059526,0.4472654280541221,0.41681410782050105,0.38109202555791133,0.439718250948431,0.6284713308028034,0.6344852447103723,0.7694949294838059,0.7552645746770574,0.7698714276902334,0.8961876109113754,1.0,0.7985559784944101,0.7523223844262781,0.7795159450791429,0.7139332842495013,0.7569058015568562,0.6372572330201375,0.7843145347794245,0.862476516971564,0.7974063374430888,0.8939397301412497,0.9035180995317622,0.7105300209336726,0.6844046463256145,0.6120939924972361,0.6267494318998419,0.6611234952754231,0.44961073358452397,0.4902629829944415,0.6202266950240493,0.5853114319446923,0.6843982478385892,0.7501606082375762,0.5894197824120907,0.6763956488401244,0.40453278209771226,0.3668470535277911,0.3243431963423896,0.25741764542558065,0.34754330372559356,0.5546875717507017,0.4603455383198093,0.5350634039898048,0.4850975279115731,0.4628468761512833,0.622962979062841,0.5186699498042663,0.4228688496211839,0.45029438045426873,0.3528761624900901,0.2934972501981362,0.445818425343734,0.5069971799137305,0.5007620228704548,0.5143602558294837,0.5414676871630231,0.5641122905823005,0.621421954491903,0.5719566676877476,0.7716476441216057,0.8153162215476306,0.7976785855295863,0.7273646439535374,0.5539972763831559
