type,text
見出し,一、午后の授業
本文,「ではみなさんは、そういうふうに川だと云われたり、乳の流れたあとだと云われたりしていたこのぼんやりと白いものがほんとうは何かご承知ですか。
本文,」先生は、黒板に吊した大きな黒い星座の図の、上から下へ白くけぶった銀河帯のようなところを指しながら、みんなに問をかけました。
本文,カムパネルラが手をあげました。
本文,それから四五人手をあげました。
本文,ジョバンニも手をあげようとして、急いでそのままやめました。
本文,たしかにあれがみんな星だと、いつか雑誌で読んだのでしたが、このごろはジョバンニはまるで毎日教室でもねむく、本を読むひまも読む本もないので、なんだかどんなこともよくわからないという気持ちがするのでした。
本文,ところが先生は早くもそれを見附けたのでした。
本文,「ジョバンニさん。
本文,あなたはわかっているのでしょう。」
本文,ジョバンニは勢よく立ちあがりましたが、立って見るともうはっきりとそれを答えることができないのでした。
本文,ザネリが前の席からふりかえって、ジョバンニを見てくすっとわらいました。
本文,ジョバンニはもうどぎまぎしてまっ赤になってしまいました。
本文,先生がまた云いました。
本文,「大きな望遠鏡で銀河をよっく調べると銀河は大体何でしょう。」
本文,やっぱり星だとジョバンニは思いましたがこんどもすぐに答えることができませんでした。
本文,先生はしばらく困ったようすでしたが、眼をカムパネルラの方へ向けて、
本文,「ではカムパネルラさん。
本文,」と名指しました。
本文,するとあんなに元気に手をあげたカムパネルラが、やはりもじもじ立ち上ったままやはり答えができませんでした。
本文,先生は意外なようにしばらくじっとカムパネルラを見ていましたが、急いで「では。
本文,よし。
本文,」と云いながら、自分で星図を指しました。
本文,「このぼんやりと白い銀河を大きないい望遠鏡で見ますと、もうたくさんの小さな星に見えるのです。
本文,ジョバンニさんそうでしょう。」
本文,ジョバンニはまっ赤になってうなずきました。
本文,けれどもいつかジョバンニの眼のなかには涙がいっぱいになりました。
本文,そうだ僕は知っていたのだ、勿論カムパネルラも知っている、それはいつかカムパネルラのお父さんの博士のうちでカムパネルラといっしょに読んだ雑誌のなかにあったのだ。
本文,それどこでなくカムパネルラは、その雑誌を読むと、すぐお父さんの書斎から巨きな本をもってきて、ぎんがというところをひろげ、まっ黒な頁いっぱいに白い点々のある美しい写真を二人でいつまでも見たのでした。
本文,それをカムパネルラが忘れる筈もなかったのに、すぐに返事をしなかったのは、このごろぼくが、朝にも午后にも仕事がつらく、学校に出てももうみんなともはきはき遊ばず、カムパネルラともあんまり物を云わないようになったので、カムパネルラがそれを知って気の毒がってわざと返事をしなかったのだ、そう考えるとたまらないほど、じぶんもカムパネルラもあわれなような気がするのでした。
本文,先生はまた云いました。
本文,「ですからもしもこの天の川がほんとうに川だと考えるなら、その一つ一つの小さな星はみんなその川のそこの砂や砂利の粒にもあたるわけです。
本文,またこれを巨きな乳の流れと考えるならもっと天の川とよく似ています。
本文,つまりその星はみな、乳のなかにまるで細かにうかんでいる脂油の球にもあたるのです。
本文,そんなら何がその川の水にあたるかと云いますと、それは真空という光をある速さで伝えるもので、太陽や地球もやっぱりそのなかに浮んでいるのです。
本文,つまりは私どもも天の川の水のなかに棲んでいるわけです。
本文,そしてその天の川の水のなかから四方を見ると、ちょうど水が深いほど青く見えるように、天の川の底の深く遠いところほど星がたくさん集って見えしたがって白くぼんやり見えるのです。
本文,この模型をごらんなさい。」
本文,先生は中にたくさん光る砂のつぶの入った大きな両面の凸レンズを指しました。
本文,「天の川の形はちょうどこんななのです。
本文,このいちいちの光るつぶがみんな私どもの太陽と同じようにじぶんで光っている星だと考えます。
本文,私どもの太陽がこのほぼ中ごろにあって地球がそのすぐ近くにあるとします。
本文,みなさんは夜にこのまん中に立ってこのレンズの中を見まわすとしてごらんなさい。
本文,こっちの方はレンズが薄いのでわずかの光る粒即ち星しか見えないのでしょう。
本文,こっちやこっちの方はガラスが厚いので、光る粒即ち星がたくさん見えその遠いのはぼうっと白く見えるというこれがつまり今日の銀河の説なのです。
本文,そんならこのレンズの大きさがどれ位あるかまたその中のさまざまの星についてはもう時間ですからこの次の理科の時間にお話します。
本文,では今日はその銀河のお祭なのですからみなさんは外へでてよくそらをごらんなさい。
本文,ではここまでです。
本文,本やノートをおしまいなさい。」
本文,そして教室中はしばらく机の蓋をあけたりしめたり本を重ねたりする音がいっぱいでしたがまもなくみんなはきちんと立って礼をすると教室を出ました。
見出し,二、活版所
本文,ジョバンニが学校の門を出るとき、同じ組の七八人は家へ帰らずカムパネルラをまん中にして校庭の隅の桜の木のところに集まっていました。
本文,それはこんやの星祭に青いあかりをこしらえて川へ流す烏瓜を取りに行く相談らしかったのです。
本文,けれどもジョバンニは手を大きく振ってどしどし学校の門を出て来ました。
本文,すると町の家々ではこんやの銀河の祭りにいちいの葉の玉をつるしたりひのきの枝にあかりをつけたりいろいろ仕度をしているのでした。
本文,家へは帰らずジョバンニが町を三つ曲ってある大きな活版処にはいってすぐ入口の計算台に居ただぶだぶの白いシャツを着た人におじぎをしてジョバンニは靴をぬいで上りますと、突き当りの大きな扉をあけました。
本文,中にはまだ昼なのに電燈がついてたくさんの輪転器がばたりばたりとまわり、きれで頭をしばったりラムプシェードをかけたりした人たちが、何か歌うように読んだり数えたりしながらたくさん働いて居りました。
本文,ジョバンニはすぐ入口から三番目の高い卓子に座った人の所へ行っておじぎをしました。
本文,その人はしばらく棚をさがしてから、
本文,「これだけ拾って行けるかね。
本文,」と云いながら、一枚の紙切れを渡しました。
本文,ジョバンニはその人の卓子の足もとから一つの小さな平たい函をとりだして向うの電燈のたくさんついた、たてかけてある壁の隅の所へしゃがみ込むと小さなピンセットでまるで粟粒ぐらいの活字を次から次と拾いはじめました。
本文,青い胸あてをした人がジョバンニのうしろを通りながら、
本文,「よう、虫めがね君、お早う。
本文,」と云いますと、近くの四五人の人たちが声もたてずこっちも向かずに冷くわらいました。
本文,ジョバンニは何べんも眼を拭いながら活字をだんだんひろいました。
