type,text
本文,ネルロとパトラッシュ――この二人はさびしい身の上同志でした。
本文,ふたりともこの世に頼るものなく取り残されたひとりぼっち同志ですから、その仲のいいことは言うまでもありません。
本文,いや、「仲がいい」くらいな言葉では言いあらわせません。
本文,兄弟でもこれほど愛し合っている者はまずないでしょう。
本文,ほんとにこれ以上の親しさはかんがえられないほどの間柄でした。
本文,しかも、ふたり、と言っても人間同志ではないのです。
本文,ネルロは、フランスとベルギーの境を流れるムーズ河の畔の田舎町アンデルスに生れた少年。
本文,パトラッシュは、フランダース産の大きな犬なのです。
本文,このふたりは、年数から言ったら、いわゆるおなじ年ですが、一方はまだあどけない子供ですのに、一方はすでに老犬の部類に入っています。
本文,ふたりが友達になったそもそものはじまりは、お互いに同情し合ったのがもとで、日を経るにしたがって、その気持はますます深まり、今ではもう切っても切れない親しさにむすびついてしまいました。
本文,村はずれの小さな小舎、それがふたりの家でした。
本文,この村というのは、ベルギーの首府アントワープから一里半ばかり離れたフランダースの一村落で、まわりには麦畑や牧場が広々とつらなっていて、その平野を貫ぬく大きな運河の岸には、ポプラや赤揚樹の長い並木が、そよそよ吹く微風にさえ枝をゆすぶっていました。
本文,村には家屋敷がおよそ二十ばかり、その鎧戸は、みんな明るい緑色か、青空そのままの色に塗られ、屋根は、多くは紅い薔薇色、または黒と白のまだらに塗られていました。
本文,壁は雪のように真白で、太陽に輝いている時は目がいたくなるほどでした。
本文,村の中央には、苔むした土手の上に風車がそびえ立っています。
本文,この風車はこの辺一帯の低地の目標ともなっているものでした。
本文,ずっとずっと昔、この風車は翼も何もかもすっかり真紅に塗られたこともありました。
本文,が今はもうその燃えるような赤い色も風雨にさらされて汚なく色あせてしまい、まわり具合も、よぼよぼのおじいさんのように、止ったり、動いたり、という有様になってしまいました。
本文,とは言えまだこの辺の人達の麦搗の役は充分足しています。
本文,この風車と向き合って古ぼけた小さな教会堂が建っています。
本文,その細長い塔の上の鐘は、朝に夕に、静かな、かなしげな音をひびかせるのでした。
本文,東北の方広々とした平野の彼方にはアントワープの旧教寺院の尖った塔が、そびえ立っているのが望まれました。
本文,平野にははてしもなくあおやかな穀物の畑がひろがって、まるで一面海のようでした。
本文,さて、その村はずれの小屋の主人というのは、大へん年とった、そして大へん貧乏で、ジェハン・ダアズというおじいさんでした。
本文,このおじいさんも、ずっと以前は軍人で、あのナポレオンの大軍がこのベルギーに攻め入って来た時には、戦いに出た経歴も持っています。
本文,しかもこのおじいさんが、その戦場から持ちかえったものとしては何一つなく、ただ、大きな傷を受けて、一生跛をひきずらねばならないことだけでした。
本文,ジェハンじいさんが八十才になった時、じいさんの娘が、アンデルスというところで死に、二才になったばかりの男の子をおじいさんの手に残しました。
本文,自分一人の暮しさえやっとであるこの貧乏なおじいさんは、それでも愚痴一つこぼさず、この厄介者を引き受けました。
本文,そしてこの厄介者はじき、おじいさんにとって、可愛い、尊い、なくてはならない大切なものになってしまったのでした。
本文,その忘れがたみのネルロ――実の名はニコラスというのだが、それを可愛らしく呼んでネルロとしたのです――は、この上ないおじいさんの慰め手となって、この小さな小屋はほんとうに平和でした。
本文,小屋は粗末な掘っ立て小屋にすぎませんでしたが、おじいさんは、いつもきちんと片づけ、貝殻のように白く塗り立てて、まわりには、ささやかな豆や薬草や南瓜の畑をつくっていました。
本文,このおじいさんと孫とは、おそろしく貧乏で、全くなにも口にすることのできない日が幾日もあり、たとえどんなにうまく行った日でも、これで十分というほど食べられることなど決してありませんでした。
本文,ですから二人にとっては、これで腹一ぱいというだけ食べられれば、それがもう天国へ登ったほどありがたいことなのでした。
本文,しかしこんなに貧乏でも、おじいさんは親切でやさしく、孫のネルロも、嘘を言わない、無邪気な素直な心を持っていました。
本文,ふたりはもうほんのわずかなパンの皮とキャベツの葉っぱで満足して、その上はなんにも望みませんでした。
本文,ただ一つ、ねがいと言っては、犬のパトラッシュが、いつまでも側にいてくれればいい、と言うことだけでした。
本文,ほんとうにパトラッシュがいなかったら、今頃このおじいさんと孫はどうなっていたことでしょう。
本文,パトラッシュは彼等にとって全くなくてはならないものでした。
本文,この犬一ぴきが、彼等――老いぼれた不具者と頑是ない幼児――にとっては、ただ一人の稼ぎ人、ただ一人の友達、ただ一人の相談相手、杖とも柱ともたのむ、ただ一つの頼りなのでした。
本文,フランダースの犬は、一体に頭も四本の脚も大きく、耳は狼のようにぴんと立っていて、何代も何代も親ゆずりの荒い労働で鍛え上げたがっしりしたその足は、何れも外側にひらいてふんばっていて、見るからに異常な筋肉の発達を示しています。
本文,全くフランダースの犬は、親子代々、一生、はげしいむごたらしい労働にこきつかわれ、力つきて、ついには路上に血を吐いて行き倒れる、という運命を持っているのでした。
本文,そうした犬を両親にしてパトラッシュは生れました。
本文,彼は悪罵と鞭とに育てられ一疋前の犬となる前にすでに荷車を挽く擦傷のいたさと、頸環の苦しみを味いました。
