,epoch,type,lr,batch,weight_decay,accumulation_steps,target
0,100,constant,5e-06,16,0.0,1.0,True
1,100,constant,5e-06,16,0.0001,1.0,True
2,100,constant,5e-06,16,0.0005,1.0,True
3,100,constant,5e-06,16,0.001,1.0,True
4,100,constant,5e-06,32,0.0,1.0,True
5,100,constant,5e-06,32,0.0001,1.0,True
6,100,constant,5e-06,32,0.0005,1.0,True
7,100,constant,5e-06,32,0.001,1.0,True
8,100,constant,5e-06,64,0.0,1.0,True
9,100,constant,5e-06,64,0.0001,1.0,True
10,100,constant,5e-06,64,0.0005,1.0,True
11,100,constant,5e-06,64,0.001,1.0,True
12,100,constant,5e-06,128,0.0,1.0,True
13,100,constant,5e-06,128,0.0001,1.0,True
14,100,constant,5e-06,128,0.0005,1.0,True
15,100,constant,5e-06,128,0.001,1.0,True
16,100,constant,5e-06,256,0.0,1.0,True
17,100,constant,5e-06,256,0.0001,1.0,True
18,100,constant,5e-06,256,0.0005,1.0,True
19,100,constant,5e-06,256,0.001,1.0,True
20,100,constant,5e-06,128,0.0,4.0,True
21,100,constant,5e-06,128,0.0001,4.0,True
22,100,constant,5e-06,128,0.0005,4.0,True
23,100,constant,5e-06,128,0.001,4.0,True
24,100,constant,7e-06,16,0.0,1.0,False
25,100,constant,7e-06,16,0.0001,1.0,False
26,100,constant,7e-06,16,0.0005,1.0,False
27,100,constant,7e-06,16,0.001,1.0,False
28,100,constant,7e-06,32,0.0,1.0,False
29,100,constant,7e-06,32,0.0001,1.0,False
30,100,constant,7e-06,32,0.0005,1.0,False
31,100,constant,7e-06,32,0.001,1.0,False
32,100,constant,7e-06,64,0.0,1.0,False
33,100,constant,7e-06,64,0.0001,1.0,False
34,100,constant,7e-06,64,0.0005,1.0,False
35,100,constant,7e-06,64,0.001,1.0,False
36,100,constant,7e-06,128,0.0,1.0,False
37,100,constant,7e-06,128,0.0001,1.0,False
38,100,constant,7e-06,128,0.0005,1.0,False
39,100,constant,7e-06,128,0.001,1.0,False
40,100,constant,7e-06,256,0.0,1.0,False
41,100,constant,7e-06,256,0.0001,1.0,False
42,100,constant,7e-06,256,0.0005,1.0,False
43,100,constant,7e-06,256,0.001,1.0,False
44,100,constant,7e-06,128,0.0,4.0,False
45,100,constant,7e-06,128,0.0001,4.0,False
46,100,constant,7e-06,128,0.0005,4.0,False
47,100,constant,7e-06,128,0.001,4.0,False
48,100,constant,1e-05,16,0.0,1.0,False
49,100,constant,1e-05,16,0.0001,1.0,False
50,100,constant,1e-05,16,0.0005,1.0,False
51,100,constant,1e-05,16,0.001,1.0,False
52,100,constant,1e-05,32,0.0,1.0,False
53,100,constant,1e-05,32,0.0001,1.0,False
54,100,constant,1e-05,32,0.0005,1.0,False
55,100,constant,1e-05,32,0.001,1.0,False
56,100,constant,1e-05,64,0.0,1.0,False
57,100,constant,1e-05,64,0.0001,1.0,False
58,100,constant,1e-05,64,0.0005,1.0,False
