,対象,人物ID,氏名,読み,作品ID,作品名,副題,作品名読み,図書カードURL,テキストファイルURL,テキストファイルパス,備考,length
0,True,374,饗庭 篁村,あえば こうそん,45754,良夜,,りょうや,https://www.aozora.gr.jp/cards/000374/card45754.html,https://www.aozora.gr.jp/cards/000374/files/45754_ruby_23695.zip,./bunko/cards/000374/files/edit/45754_ruby_23695.txt,,119.0
1,True,879,芥川 竜之介,あくたがわ りゅうのすけ,73,或敵打の話,,あるかたきうちのはなし,https://www.aozora.gr.jp/cards/000879/card73.html,https://www.aozora.gr.jp/cards/000879/files/73_ruby_1217.zip,./bunko/cards/000879/files/edit/73_ruby_1217.txt,,280.0
2,True,879,芥川 竜之介,あくたがわ りゅうのすけ,122,或日の大石内蔵助,,あるひのおおいしくらのすけ,https://www.aozora.gr.jp/cards/000879/card122.html,https://www.aozora.gr.jp/cards/000879/files/122_ruby_172.zip,./bunko/cards/000879/files/edit/122_ruby_172.txt,,214.0
3,True,879,芥川 竜之介,あくたがわ りゅうのすけ,129,或恋愛小説,,あるれんあいしょうせつ,https://www.aozora.gr.jp/cards/000879/card129.html,https://www.aozora.gr.jp/cards/000879/files/129_ruby_1142.zip,./bunko/cards/000879/files/edit/129_ruby_1142.txt,,182.0
4,True,879,芥川 竜之介,あくたがわ りゅうのすけ,57,一夕話,,いっせきわ,https://www.aozora.gr.jp/cards/000879/card57.html,https://www.aozora.gr.jp/cards/000879/files/57_ruby_1172.zip,./bunko/cards/000879/files/edit/57_ruby_1172.txt,,209.0
5,True,879,芥川 竜之介,あくたがわ りゅうのすけ,177,魚河岸,,うおがし,https://www.aozora.gr.jp/cards/000879/card177.html,https://www.aozora.gr.jp/cards/000879/files/177_ruby_1019.zip,./bunko/cards/000879/files/edit/177_ruby_1019.txt,,73.0
6,True,879,芥川 竜之介,あくたがわ りゅうのすけ,174,馬の脚,,うまのあし,https://www.aozora.gr.jp/cards/000879/card174.html,https://www.aozora.gr.jp/cards/000879/files/174_ruby_1111.zip,./bunko/cards/000879/files/edit/174_ruby_1111.txt,,408.0
7,True,879,芥川 竜之介,あくたがわ りゅうのすけ,175,海のほとり,,うみのほとり,https://www.aozora.gr.jp/cards/000879/card175.html,https://www.aozora.gr.jp/cards/000879/files/175_ruby_1121.zip,./bunko/cards/000879/files/edit/175_ruby_1121.txt,,227.0
8,True,879,芥川 竜之介,あくたがわ りゅうのすけ,176,運,,うん,https://www.aozora.gr.jp/cards/000879/card176.html,https://www.aozora.gr.jp/cards/000879/files/176_ruby_761.zip,./bunko/cards/000879/files/edit/176_ruby_761.txt,,208.0
9,True,879,芥川 竜之介,あくたがわ りゅうのすけ,35,英雄の器,,えいゆうのうつわ,https://www.aozora.gr.jp/cards/000879/card35.html,https://www.aozora.gr.jp/cards/000879/files/35_ruby_841.zip,./bunko/cards/000879/files/edit/35_ruby_841.txt,,67.0
10,True,879,芥川 竜之介,あくたがわ りゅうのすけ,116,おぎん,,おぎん,https://www.aozora.gr.jp/cards/000879/card116.html,https://www.aozora.gr.jp/cards/000879/files/116_ruby_1095.zip,./bunko/cards/000879/files/edit/116_ruby_1095.txt,,151.0
11,True,879,芥川 竜之介,あくたがわ りゅうのすけ,119,お時儀,,おじぎ,https://www.aozora.gr.jp/cards/000879/card119.html,https://www.aozora.gr.jp/cards/000879/files/119_ruby_1007.zip,./bunko/cards/000879/files/edit/119_ruby_1007.txt,,127.0
12,True,879,芥川 竜之介,あくたがわ りゅうのすけ,125,おしの,,おしの,https://www.aozora.gr.jp/cards/000879/card125.html,https://www.aozora.gr.jp/cards/000879/files/125_ruby_1099.zip,./bunko/cards/000879/files/edit/125_ruby_1099.txt,,143.0
13,True,879,芥川 竜之介,あくたがわ りゅうのすけ,124,お律と子等と,,おりつとこらと,https://www.aozora.gr.jp/cards/000879/card124.html,https://www.aozora.gr.jp/cards/000879/files/124_ruby_952.zip,./bunko/cards/000879/files/edit/124_ruby_952.txt,,982.0
14,True,879,芥川 竜之介,あくたがわ りゅうのすけ,121,温泉だより,,おんせんだより,https://www.aozora.gr.jp/cards/000879/card121.html,https://www.aozora.gr.jp/cards/000879/files/121_ruby_1285.zip,./bunko/cards/000879/files/edit/121_ruby_1285.txt,,160.0
15,True,879,芥川 竜之介,あくたがわ りゅうのすけ,120,女,,おんな,https://www.aozora.gr.jp/cards/000879/card120.html,https://www.aozora.gr.jp/cards/000879/files/120_ruby_1011.zip,./bunko/cards/000879/files/edit/120_ruby_1011.txt,,51.0
16,True,879,芥川 竜之介,あくたがわ りゅうのすけ,67,開化の良人,,かいかのおっと,https://www.aozora.gr.jp/cards/000879/card67.html,https://www.aozora.gr.jp/cards/000879/files/67_ruby_967.zip,./bunko/cards/000879/files/edit/67_ruby_967.txt,,295.0
17,True,879,芥川 竜之介,あくたがわ りゅうのすけ,64,影,,かげ,https://www.aozora.gr.jp/cards/000879/card64.html,https://www.aozora.gr.jp/cards/000879/files/64_ruby_1561.zip,./bunko/cards/000879/files/edit/64_ruby_1561.txt,,343.0
18,True,879,芥川 竜之介,あくたがわ りゅうのすけ,74,片恋,,かたこい,https://www.aozora.gr.jp/cards/000879/card74.html,https://www.aozora.gr.jp/cards/000879/files/74_ruby_853.zip,./bunko/cards/000879/files/edit/74_ruby_853.txt,,174.0
19,True,879,芥川 竜之介,あくたがわ りゅうのすけ,69,河童,,かっぱ,https://www.aozora.gr.jp/cards/000879/card69.html,https://www.aozora.gr.jp/cards/000879/files/69_ruby_1321.zip,,,
20,True,879,芥川 竜之介,あくたがわ りゅうのすけ,68,神神の微笑,,かみがみのびしょう,https://www.aozora.gr.jp/cards/000879/card68.html,https://www.aozora.gr.jp/cards/000879/files/68_ruby_936.zip,./bunko/cards/000879/files/edit/68_ruby_936.txt,,285.0
21,True,879,芥川 竜之介,あくたがわ りゅうのすけ,29,カルメン,,カルメン,https://www.aozora.gr.jp/cards/000879/card29.html,https://www.aozora.gr.jp/cards/000879/files/29_ruby_1382.zip,./bunko/cards/000879/files/edit/29_ruby_1382.txt,,61.0
22,True,879,芥川 竜之介,あくたがわ りゅうのすけ,70,彼,,かれ,https://www.aozora.gr.jp/cards/000879/card70.html,https://www.aozora.gr.jp/cards/000879/files/70_ruby_1565.zip,./bunko/cards/000879/files/edit/70_ruby_1565.txt,,197.0
23,True,879,芥川 竜之介,あくたがわ りゅうのすけ,71,彼　第二,,かれ　だいに,https://www.aozora.gr.jp/cards/000879/card71.html,https://www.aozora.gr.jp/cards/000879/files/71_ruby_1569.zip,./bunko/cards/000879/files/edit/71_ruby_1569.txt,,215.0
24,True,879,芥川 竜之介,あくたがわ りゅうのすけ,77,奇怪な再会,,きかいなさいかい,https://www.aozora.gr.jp/cards/000879/card77.html,https://www.aozora.gr.jp/cards/000879/files/77_ruby_944.zip,./bunko/cards/000879/files/edit/77_ruby_944.txt,,727.0
25,True,879,芥川 竜之介,あくたがわ りゅうのすけ,76,奇遇,,きぐう,https://www.aozora.gr.jp/cards/000879/card76.html,https://www.aozora.gr.jp/cards/000879/files/76_ruby_940.zip,./bunko/cards/000879/files/edit/76_ruby_940.txt,,214.0
26,True,879,芥川 竜之介,あくたがわ りゅうのすけ,80,煙管,,きせる,https://www.aozora.gr.jp/cards/000879/card80.html,https://www.aozora.gr.jp/cards/000879/files/80_ruby_753.zip,./bunko/cards/000879/files/edit/80_ruby_753.txt,,206.0
27,True,879,芥川 竜之介,あくたがわ りゅうのすけ,39,疑惑,,ぎわく,https://www.aozora.gr.jp/cards/000879/card39.html,https://www.aozora.gr.jp/cards/000879/files/39_ruby_881.zip,./bunko/cards/000879/files/edit/39_ruby_881.txt,,264.0
